Timestamp,Timestamp [ms],CPU cores,CPU capacity provisioned [MHZ],CPU usage [MHZ],CPU usage [%],Memory capacity provisioned [KB],Memory usage [KB],Disk read throughput [KB/s],Disk write throughput [KB/s],Network received throughput [KB/s],Network transmitted throughput [KB/s]
2022-03-21 00:00:00,1647820829852.165,4.0,11703.998240000052,688.078056529604,5.878999999999968,67108864.0,684733.9559999999,1.8123333333333336,654.426999999997,11.719333333333331,1.4146666666666663
2022-03-21 00:01:00,1647820889857.505,4.0,11703.998240000052,4215.783649380808,36.02002976190476,67108864.0,4589957.818666668,2.292095238095238,4036.5282380952417,71.79133333333333,4.09340476190476
2022-03-21 00:02:00,1647820949862.89,4.0,11703.998240000052,1766.1200977513217,15.089886904761924,67108864.0,1893588.0893333333,0.9816666666666667,1663.4924761904708,27.689666666666664,1.7639999999999998
2022-03-21 00:03:00,1647821009868.91,4.0,11703.998240000052,70.6336293784,0.6034999999999993,67108864.0,36686.14399999999,3.1470000000000002,8.601333333333349,0.9189999999999999,1.0296666666666665
2022-03-21 00:04:00,1647821069874.125,4.0,11703.998240000052,72.61880754141542,0.6204615384615381,67108864.0,31437.891692307694,1.683,1.514461538461543,0.0010000000000000002,1.0066666666666666
2022-03-21 00:05:00,1647821129878.915,4.0,11703.998240000052,69.39913623070478,0.5929523809523802,67108864.0,20404.270857142856,0.8623333333333334,0.8878571428571411,0.0013333333333333335,1.007
2022-03-21 00:06:00,1647821189884.65,4.0,11703.998240000052,71.20907595853336,0.6084166666666662,67108864.0,34001.792,2.5030000000000006,1.1336666666666657,0.002,1.0096666666666665
2022-03-21 00:07:00,1647821249891.225,4.0,11703.998240000052,70.27414943245715,0.6004285714285713,67108864.0,20132.64,1.6826666666666665,0.8788571428571431,0.0016666666666666668,1.0056666666666667
2022-03-21 00:08:00,1647821309898.555,4.0,11703.998240000052,69.35803290355243,0.5926011904761895,67108864.0,31988.528000000002,1.6826666666666668,1.036595238095237,0.0013333333333333335,1.0066666666666666
2022-03-21 00:09:00,1647821369905.66,4.0,11703.998240000052,70.77017602453337,0.6046666666666664,67108864.0,19237.856,0.863,0.8606666666666665,0.0016666666666666668,1.0056666666666665
2022-03-21 00:10:00,1647821429912.31,4.0,11703.998240000052,69.54857120823334,0.5942291666666661,67108864.0,23823.624000000003,0.8413333333333334,0.8842499999999971,0.0013333333333333335,1.006333333333333
2022-03-21 00:11:00,1647821489963.111,4.0,11703.998240000052,403.35445786370167,3.4462962962963,67108864.0,360399.32390572387,1.8764309764309766,1.2207912457912458,8.097643097643097,4.54781144781145
2022-03-21 00:12:00,1647821549934.72,4.0,11703.998240000052,118.97114210960004,1.0165000000000004,67108864.0,52792.265333333344,0.8756666666666666,0.9605714285714286,3.4723333333333346,1.297
2022-03-21 00:13:00,1647821609940.415,4.0,11703.998240000052,71.86812252609526,0.6140476190476184,67108864.0,33410.59542857143,4.141666666666667,2.0335952380952462,0.002,1.0073333333333334
